scientificName
Andrena (Aenandrena) aeneiventris Morawitz, 1872
Bombus (Bombus) affinis Cresson, 1863
Andrena (Simandrena) angustitarsata Viereck, 1904
Bombus (Pyrobombus) vosnesenskii Radoszkowski, 1862
Andrena prunorum prunorum
